Status,Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price
bad,10,owner,36,46,married,yes,freelance,90,200,3000,0,2000,2985
good,1,owner,60,36,married,no,fixed,75,214,3500,0,650,1645
good,10,owner,36,39,married,no,freelance,75,150,3000,0,1000,1394
bad,0,owner,60,32,married,yes,fixed,45,142,7000,3000,1250,1566
good,8,owner,60,28,married,no,fixed,60,145,4000,1000,1600,1718
good,4,owner,60,37,married,no,fixed,60,185,3000,0,1200,1564
good,19,rent,60,38,married,no,fixed,86,108,0,0,1000,1132
good,10,parents,36,52,married,no,fixed,60,150,0,0,550,612
good,3,parents,60,29,single,no,fixed,35,70,0,0,950,1177
good,8,rent,60,52,married,no,fixed,89,137,4000,0,800,1086
good,20,owner,24,66,married,no,fixed,45,143,10000,0,950,1370
good,18,rent,60,54,married,no,fixed,66,214,0,0,1300,1307
good,8,owner,60,28,married,no,fixed,75,180,4000,0,1300,1730
good,19,owner,36,33,married,no,fixed,60,115,6700,2000,1000,2084
good,3,owner,48,25,single,no,freelance,35,NA,4000,0,1200,1449
good,4,owner,30,47,married,no,freelance,90,210,15000,0,1550,1578
good,23,owner,12,37,married,no,fixed,45,165,5000,0,900,1694
good,18,parents,60,34,married,no,fixed,60,112,6550,0,600,1346
good,1,parents,60,28,single,no,partime,35,67,0,0,1050,1387
bad,4,other,36,19,single,no,partime,35,63,0,0,1000,1035
good,12,owner,60,50,married,no,fixed,45,190,9500,200,1800,2624
bad,13,rent,24,49,married,no,freelance,90,NA,0,0,700,800
good,2,parents,36,30,married,no,fixed,45,170,0,0,700,1090
good,4,parents,12,30,married,no,fixed,60,340,16000,0,1900,2014
good,10,owner,36,32,married,no,freelance,60,300,40000,3000,2000,4138
good,20,owner,48,58,married,no,freelance,60,380,35000,0,1100,1150
good,20,parents,60,36,married,no,freelance,60,130,0,0,1200,1630
good,13,owner,60,38,married,no,fixed,75,220,6500,3600,1000,1195
good,3,owner,60,31,single,no,fixed,35,131,4000,0,1050,1139
bad,5,owner,60,35,married,no,fixed,75,60,3000,400,1150,1406
good,2,owner,60,47,married,no,fixed,90,86,4500,0,1200,1497
good,6,owner,36,49,married,no,freelance,60,100,22000,0,1000,1790
good,6,owner,48,24,married,no,fixed,45,227,3000,0,600,1380
good,37,owner,48,63,married,no,fixed,60,150,3500,0,700,808
bad,1,parents,60,23,single,no,fixed,35,90,0,0,1100,1107
good,2,owner,30,26,married,no,fixed,60,50,3500,250,600,1292
good,17,owner,48,49,married,no,freelance,60,189,7000,0,1100,1294
good,3,owner,60,36,married,no,fixed,60,202,4600,1260,1400,1936
good,1,owner,6,29,single,no,freelance,35,107,2000,0,300,1298
good,1,parents,60,21,single,no,freelance,35,100,0,0,900,1290
good,10,owner,36,34,married,no,fixed,90,159,3000,250,300,500
good,8,rent,48,24,single,no,fixed,49,135,0,0,1000,1274
good,1,rent,36,35,married,no,freelance,66,208,4000,0,1000,1300
good,20,parents,60,36,married,no,fixed,60,121,0,0,850,935
good,16,parents,60,31,married,no,fixed,45,160,0,0,1400,1850
good,20,owner,60,54,married,no,fixed,60,107,1500,0,1250,1500
good,13,owner,60,43,married,no,fixed,60,95,3000,0,890,1196
bad,3,owner,60,40,married,no,freelance,75,246,2500,0,1300,1500
good,21,rent,48,36,married,no,fixed,86,113,0,0,950,1057
good,1,owner,60,28,married,no,fixed,45,133,5000,9000,700,1175
good,0,parents,60,20,married,no,freelance,45,100,0,0,1850,2150
bad,3,parents,60,19,single,no,freelance,45,198,2500,0,1100,1194
good,3,rent,36,23,single,no,fixed,50,150,0,0,1000,1128
good,10,owner,48,37,widow,no,others,45,110,3000,0,500,1190
good,10,owner,60,51,married,no,fixed,60,202,2000,0,1400,1580
good,1,owner,60,51,married,no,others,45,105,3000,0,1200,1250
good,2,parents,60,34,single,no,fixed,35,140,0,0,1200,1274
bad,0,other,48,25,single,no,fixed,35,139,0,0,1200,1202
good,3,parents,48,31,single,no,fixed,35,120,0,0,1000,1100
bad,16,owner,60,42,married,no,fixed,75,81,3500,0,870,873
bad,13,rent,60,40,separated,no,freelance,64,35,2500,0,1920,1920
good,8,owner,60,25,married,no,fixed,45,139,4000,1300,1450,1556
good,23,parents,60,43,single,no,fixed,35,90,3500,0,1050,1228
good,10,owner,48,42,married,no,freelance,105,230,30000,5000,1200,1570
good,1,parents,36,19,single,no,partime,35,43,0,0,425,500
good,1,owner,48,45,married,no,freelance,90,250,4000,0,1700,1800
good,15,rent,60,55,married,no,freelance,74,140,0,0,1000,1204
good,15,parents,36,39,single,no,fixed,60,120,0,0,900,900
bad,0,owner,60,29,married,yes,fixed,45,100,4500,0,1200,1406
good,6,rent,60,26,married,no,fixed,60,150,0,0,1200,1376
bad,15,owner,36,49,married,no,freelance,75,70,3572,1728,1650,2755
good,10,owner,60,30,married,yes,fixed,60,242,7500,0,1550,1904
good,4,rent,60,24,married,no,fixed,52,70,0,0,1000,1315
good,15,rent,18,55,married,no,freelance,102,120,20000,0,1150,1366
good,12,owner,60,38,married,no,freelance,75,225,4500,900,1000,1606
good,1,rent,60,44,married,no,fixed,65,54,0,0,1550,1650
good,3,rent,48,29,married,no,fixed,85,100,0,0,1000,1191
good,5,owner,48,46,married,no,fixed,60,130,4000,0,950,1544
bad,0,other,60,52,married,yes,fixed,45,NA,0,0,1400,1734
good,5,owner,60,57,married,no,fixed,60,830,18000,0,2000,2125
good,12,owner,24,47,married,no,fixed,60,135,2500,0,550,1061
bad,4,owner,6,42,married,no,fixed,45,275,4800,1200,2400,3400
good,1,owner,36,42,married,no,partime,60,62,3000,0,300,450
good,3,owner,48,48,married,no,freelance,45,100,4000,0,1600,2600
good,11,owner,36,46,married,no,fixed,60,155,16500,0,1000,1800
good,4,owner,60,41,married,no,fixed,90,250,10000,2000,800,916
good,6,parents,60,33,married,yes,partime,60,NA,0,0,1250,1332
bad,10,rent,48,36,married,yes,freelance,100,247,0,0,1500,1810
bad,2,rent,60,24,married,no,fixed,70,100,0,0,900,1127
good,20,other,6,58,married,yes,fixed,45,130,0,0,500,2058
good,1,parents,60,36,single,no,fixed,35,176,0,0,1100,1600
good,7,owner,36,49,widow,no,fixed,35,108,12000,0,350,875
good,18,rent,60,38,married,no,fixed,56,108,0,0,1000,1307
bad,1,rent,48,47,married,no,fixed,74,140,0,0,2000,2201
good,0,owner,60,25,married,no,fixed,75,141,3500,0,1250,1350
good,3,parents,60,22,single,no,fixed,35,80,0,0,1000,1500
good,4,parents,36,29,single,no,fixed,35,47,0,0,400,450
good,12,owner,48,40,married,no,fixed,75,293,4000,0,1298,1298
bad,3,other,48,38,married,no,freelance,75,40,3500,0,600,882
good,18,owner,36,32,married,no,fixed,75,65,2500,0,700,957
bad,2,owner,60,57,single,no,freelance,35,50,15000,0,960,962
good,2,owner,36,51,married,no,partime,75,125,4500,0,600,989
bad,1,rent,60,32,married,no,fixed,88,125,0,0,1200,1225
good,5,parents,60,45,married,yes,fixed,35,176,0,0,1000,1388
good,0,owner,48,24,married,no,partime,45,95,5000,0,1000,1601
good,12,owner,48,38,married,no,fixed,60,85,3000,0,500,960
bad,0,owner,60,48,married,no,partime,75,100,7000,0,1000,1129
bad,3,other,36,40,married,yes,fixed,75,176,0,0,950,1150
good,3,owner,24,29,married,no,fixed,45,254,6000,800,500,1900
good,8,parents,60,26,single,no,freelance,35,75,7000,0,850,989
bad,43,owner,60,57,married,yes,fixed,45,283,8000,0,900,1168
bad,0,rent,60,36,married,yes,fixed,85,100,0,0,1100,1256
good,10,owner,60,34,married,yes,fixed,60,310,3000,0,1600,1849
good,16,rent,60,36,single,yes,fixed,47,120,5500,1700,1650,1852
bad,2,rent,60,57,married,no,others,50,52,1800,0,800,866
good,15,rent,60,41,married,no,fixed,74,137,0,0,1000,1450
bad,1,parents,36,22,single,no,fixed,35,80,8000,0,490,690
bad,5,parents,36,26,single,no,freelance,35,NA,5000,3000,1200,2140
bad,1,owner,60,49,married,no,partime,105,88,2000,0,850,1149
good,2,rent,36,35,single,no,fixed,42,74,0,0,950,1000
good,2,owner,48,37,married,no,fixed,75,135,18000,0,1000,1062
bad,0,other,60,41,married,yes,fixed,105,NA,0,0,1000,2750
bad,2,rent,48,22,single,no,fixed,42,73,0,0,940,1127
bad,11,owner,48,30,married,no,fixed,75,67,3000,2040,1000,1093
good,20,rent,36,39,married,no,freelance,95,202,0,0,600,1461
good,12,priv,60,47,married,no,fixed,60,243,8500,0,1850,1890
bad,3,parents,60,32,single,no,fixed,35,122,0,0,2000,2050
good,14,priv,60,36,married,no,fixed,60,120,4000,1500,1500,1540
good,5,rent,12,35,married,yes,freelance,96,210,0,0,300,700
good,9,owner,60,32,married,no,fixed,75,345,6000,3300,700,994
good,7,owner,60,36,married,no,fixed,60,122,3000,0,750,850
good,4,rent,36,48,married,no,freelance,94,340,1000,0,525,525
good,8,other,24,41,divorced,no,fixed,60,90,4000,0,500,1600
bad,0,other,60,47,widow,yes,freelance,45,NA,0,0,1500,1600
good,13,owner,60,52,married,no,freelance,60,NA,20000,0,1370,1714
bad,12,owner,60,39,married,no,fixed,90,95,4000,250,1450,1686
good,15,parents,48,40,single,no,fixed,35,150,0,0,1000,1399
bad,0,parents,60,20,single,no,fixed,35,79,0,0,1570,1575
good,21,rent,36,42,married,no,fixed,74,135,450,0,240,1275
bad,3,rent,60,48,separated,yes,fixed,47,120,0,0,1000,1077
good,5,rent,30,58,married,no,fixed,80,200,15000,0,520,690
bad,6,rent,36,41,married,yes,freelance,75,NA,0,0,775,875
good,20,owner,36,47,married,no,fixed,75,203,4000,0,1050,1258
good,0,owner,60,56,married,no,others,60,117,3000,0,1200,1347
good,0,priv,12,28,married,no,fixed,60,130,3000,2000,380,1308
good,1,owner,36,25,widow,no,fixed,45,60,2000,0,525,800
good,3,rent,48,35,separated,no,fixed,59,240,0,0,1300,1627
good,13,owner,60,38,single,no,fixed,45,80,4000,0,1060,1274
good,0,owner,36,36,married,no,fixed,75,424,9500,700,1000,1690
good,4,rent,48,39,married,no,fixed,91,157,0,0,1300,1501
good,17,owner,60,32,married,no,fixed,75,200,5000,2500,1550,1721
bad,3,parents,36,19,single,yes,fixed,35,47,0,0,500,700
bad,8,rent,60,40,separated,no,fixed,70,100,0,0,1300,1510
good,11,parents,60,37,married,no,fixed,75,100,0,0,1150,1230
good,5,rent,30,59,married,no,fixed,81,207,20000,0,700,1460
bad,0,owner,48,29,married,yes,others,45,391,6500,420,2000,2397
bad,5,priv,48,44,married,yes,fixed,75,199,4600,0,1600,2631
good,2,parents,60,26,single,no,fixed,35,117,0,0,1000,1724
bad,4,rent,48,26,single,no,freelance,50,150,0,0,1100,1335
good,2,parents,60,28,single,no,fixed,35,220,0,0,1600,1739
good,2,parents,60,25,single,no,fixed,35,96,0,0,1300,1785
good,14,owner,36,39,married,no,fixed,75,200,5000,0,1000,1155
good,2,owner,30,38,married,no,fixed,75,159,11000,0,1280,1289
good,2,other,36,24,married,no,fixed,60,102,0,0,900,1555
bad,6,rent,48,37,married,no,fixed,77,170,0,0,887,887
good,1,owner,36,19,single,no,fixed,45,98,4000,0,200,1330
good,20,rent,36,57,married,no,freelance,102,117,0,0,475,500
good,0,owner,48,37,married,no,freelance,60,107,18000,1700,800,1015
good,1,parents,60,25,single,no,fixed,35,105,0,0,1100,1222
good,25,rent,24,45,separated,no,freelance,53,183,93000,0,1900,3088
good,17,parents,36,43,married,no,fixed,75,200,0,0,1000,2355
good,30,owner,30,61,married,no,fixed,60,320,4000,0,700,1054
good,22,owner,36,45,married,no,fixed,75,260,3000,0,1200,2267
good,1,owner,36,20,married,no,freelance,45,110,11500,0,700,770
bad,2,priv,60,36,married,no,fixed,75,129,3000,29,900,960
bad,2,rent,60,33,married,no,fixed,80,196,0,0,1350,1364
good,25,owner,60,43,married,no,freelance,60,62,12000,0,1000,1627
good,9,owner,36,24,married,no,fixed,45,160,4000,2000,450,1388
good,5,owner,60,48,married,no,fixed,60,187,3000,0,1300,1400
bad,1,other,48,35,separated,yes,fixed,35,126,0,0,1300,1696
bad,0,other,60,22,single,no,partime,35,55,0,0,1350,1400
bad,1,rent,48,36,married,no,partime,101,112,0,0,1550,1839
bad,5,rent,60,37,married,yes,fixed,131,257,0,0,2200,2538
good,11,owner,60,38,married,no,fixed,60,153,3000,0,1650,1816
bad,3,rent,48,33,single,no,freelance,45,100,0,0,1350,1518
good,15,owner,48,43,married,no,freelance,60,100,18000,0,2500,2976
good,0,owner,36,28,married,no,fixed,45,142,8000,4000,900,1888
good,1,rent,48,27,married,no,freelance,76,160,0,0,1700,1985
good,3,owner,60,35,married,no,fixed,60,104,5000,0,1000,1317
good,20,rent,60,44,married,no,fixed,91,162,3000,0,1500,1519
good,25,owner,48,52,married,no,fixed,45,200,3000,0,800,1300
bad,7,rent,60,49,married,yes,fixed,67,68,0,0,1300,1500
good,20,owner,12,43,married,no,freelance,90,NA,3000,0,500,1909
good,1,owner,60,33,married,no,freelance,75,122,3500,2900,1400,1803
good,10,owner,12,48,married,no,fixed,75,165,4000,0,300,850
good,3,owner,48,37,widow,no,others,45,110,10000,0,1700,2481
good,0,parents,36,24,single,no,freelance,45,NA,250000,0,700,1214
good,20,parents,60,46,single,no,fixed,35,108,8000,0,550,1106
good,5,parents,60,29,single,no,freelance,35,115,12000,0,1200,1553
bad,0,other,36,49,married,yes,freelance,60,NA,0,0,1000,1800
good,3,rent,60,42,married,no,fixed,105,150,25000,0,1000,1338
good,5,owner,48,40,married,no,freelance,75,61,11000,770,1200,1483
good,2,owner,60,25,married,no,fixed,45,79,6000,2700,1300,1681
bad,0,owner,60,36,married,no,partime,90,113,4000,198,400,790
good,3,owner,6,27,married,no,fixed,60,150,4000,1500,400,1300
bad,1,parents,36,25,single,no,partime,35,53,0,0,600,1415
good,12,parents,36,30,single,no,fixed,35,59,0,0,600,1206
good,7,owner,36,31,married,no,fixed,45,180,9000,1600,700,1400
good,7,rent,24,32,single,no,freelance,67,320,0,0,2000,3400
good,2,owner,60,38,married,no,fixed,60,88,3500,500,1100,1263
bad,15,rent,60,39,married,no,fixed,90,150,0,0,1450,1450
good,40,owner,24,60,married,no,freelance,45,80,7500,0,325,1365
good,2,rent,60,26,married,no,partime,85,97,6000,0,1070,1172
bad,3,priv,30,22,single,no,freelance,60,NA,5000,0,1200,1426
bad,1,other,48,32,married,no,fixed,60,69,0,0,2000,2580
good,40,owner,24,63,married,no,fixed,45,250,55000,0,1000,1751
good,1,owner,12,27,married,no,fixed,45,70,6000,5700,600,1628
bad,2,parents,48,20,single,no,fixed,35,136,0,0,900,1022
good,15,owner,36,47,married,no,fixed,75,230,13000,1400,1400,1568
good,15,parents,18,30,married,no,fixed,45,260,8000,1500,500,2071
good,13,parents,48,31,married,no,fixed,75,80,0,0,1000,1575
good,12,owner,36,56,married,no,fixed,75,205,5500,1950,275,300
